Age,LoanAmount,Total_Income,Loan_Amount_Term,Credit_History,Cibil_Score,Adhar_Card,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Application_Area_Rural,Application_Area_Semiurban,Application_Area_Urban,Loan_Status
39,30402,490452,36,1,825,1,0,1,1,0,1,0,1,0,0,0,1,1
29,128000,103112,36,1,521,0,0,1,0,1,1,0,1,0,1,0,0,0
36,66000,400140,36,1,808,1,0,1,0,1,1,0,0,1,0,0,1,1
57,120000,389298,36,1,827,1,0,1,0,1,0,1,1,0,0,0,1,1
37,141000,103756,36,1,815,1,0,1,1,0,1,0,1,0,0,0,1,1
45,267000,439040,36,1,837,1,0,1,0,1,1,0,0,1,0,0,1,1
27,95000,202324,36,1,775,1,0,1,0,1,0,1,1,0,0,0,1,1
22,158000,87596,36,0,474,0,0,1,0,1,1,0,1,0,0,1,0,0
27,168000,525914,36,1,847,1,0,1,0,1,1,0,1,0,0,0,1,1
33,349000,165060,36,1,476,0,0,1,0,1,1,0,1,0,0,1,0,0
27,70000,132328,36,1,771,1,0,1,0,1,1,0,1,0,0,0,1,1
50,109000,730024,36,1,800,1,0,1,0,1,1,0,0,0,0,0,1,1
51,200000,578262,36,1,757,1,0,1,0,1,1,0,1,0,0,0,1,1
34,114000,47012,36,1,460,0,0,1,1,0,1,0,1,0,1,0,0,0
31,17000,523554,12,1,757,1,0,1,0,1,1,0,1,0,0,0,1,1
42,125000,344016,36,1,834,1,0,1,1,0,1,0,1,0,0,0,1,1
58,100000,1074360,24,1,785,1,0,1,1,0,0,1,1,0,0,0,1,1
30,76000,62640,36,0,459,0,1,0,1,0,1,0,1,0,0,0,1,0
40,133000,37140,36,1,555,0,0,1,0,1,0,1,1,0,1,0,0,0
51,115000,730364,36,1,812,1,0,1,0,1,1,0,0,0,0,0,1,1
31,104000,117852,36,0,584,0,0,1,0,1,0,1,1,0,0,0,1,0
52,315000,678501,36,1,810,1,0,1,0,1,1,0,1,0,0,0,1,1
26,116000,33123,36,0,365,0,0,1,0,1,0,1,1,0,0,1,0,0
25,112000,79653,36,0,598,0,0,0,0,1,0,1,1,0,1,0,0,0
35,151000,91185,36,0,560,0,0,1,0,1,1,0,0,1,0,1,0,0
53,191000,340644,36,1,798,1,0,1,0,1,1,0,0,1,0,1,0,1
57,122000,882573,36,1,773,1,0,1,0,1,1,0,1,0,0,1,0,1
29,110000,532256,36,1,796,1,0,1,0,1,0,1,1,0,0,0,1,1
25,35000,86460,36,1,468,0,0,1,1,0,0,1,1,0,0,0,1,0
33,120000,255415,36,1,838,1,1,0,1,0,1,0,0,0,0,1,0,1
32,201000,122337,36,0,563,0,0,1,0,1,1,0,0,1,0,0,1,0
34,74000,118008,36,1,527,0,0,1,1,0,1,0,1,0,0,0,1,0
28,106000,93168,36,1,542,0,0,1,1,0,1,0,0,1,1,0,0,0
38,114000,635267,36,1,815,1,0,1,0,1,1,0,1,0,0,1,0,1
28,320000,153000,36,1,480,0,0,1,1,0,1,0,1,0,1,0,0,0
32,30947,1091331,36,1,812,1,0,1,0,1,1,0,1,0,0,0,1,1
28,100000,66130,18,0,650,0,0,1,0,1,1,0,1,0,0,0,1,0
35,144000,796183,36,1,778,1,1,0,0,1,1,0,1,0,0,1,0,1
56,184000,897430,36,1,832,1,0,1,1,0,1,0,1,0,0,0,1,1
32,110000,852900,36,1,795,1,0,1,1,0,0,1,1,0,0,1,0,1
21,80000,93756,36,1,520,0,0,1,1,0,1,0,1,0,0,0,1,0
53,47000,211993,36,1,821,1,0,1,1,0,1,0,1,0,0,0,1,1
40,75000,1041768,36,0,767,1,0,1,0,1,1,0,1,0,0,0,1,1
37,134000,914120,36,1,789,1,0,1,0,1,1,0,1,0,0,1,0,1
33,96000,210900,18,1,803,1,0,1,0,1,0,1,0,1,0,0,1,1
47,88000,921264,18,1,812,1,1,0,1,0,1,0,1,0,0,0,1,1
31,44000,297816,36,1,762,1,0,1,0,1,1,0,1,0,0,0,1,1
33,144000,764628,36,1,801,1,0,1,0,1,1,0,1,0,0,0,1,1
37,120000,98468,36,0,474,0,1,0,0,1,1,0,1,0,0,0,1,0
48,144000,216187,36,1,781,1,1,0,1,0,1,0,1,0,0,1,0,1
46,100000,989004,36,1,806,1,1,0,0,1,0,1,1,0,0,1,0,1
33,120000,1119864,36,1,839,1,1,0,1,0,1,0,1,0,0,1,0,1
24,112000,57780,36,1,494,0,1,0,1,0,1,0,1,0,0,1,0,0
24,134000,78960,36,1,564,0,0,1,0,1,1,0,1,0,0,0,1,0
22,286000,138000,36,0,602,0,1,0,0,1,1,0,0,1,0,0,1,0
51,97000,709659,36,1,781,1,0,1,0,1,1,0,1,0,0,1,0,1
46,96000,980383,36,1,829,1,0,1,0,1,1,0,1,0,0,1,0,1
30,135000,81100,36,1,554,0,0,1,0,1,1,0,1,0,1,0,0,0
32,180000,976458,36,1,794,1,0,1,0,1,1,0,1,0,0,0,1,1
47,144000,306963,36,1,819,1,0,1,0,1,0,1,1,0,0,0,1,1
36,120000,1061572,36,1,791,1,0,1,0,1,1,0,1,0,0,0,1,1
40,99000,433908,36,1,847,1,0,1,0,1,1,0,1,0,0,0,1,1
26,165000,51545,18,0,519,0,0,1,0,1,0,1,0,1,1,0,0,0
29,31144,31968,36,0,583,0,0,1,0,1,1,0,1,0,1,0,0,0
33,116000,46308,36,0,403,0,1,0,1,0,1,0,1,0,0,1,0,0
35,258000,112139,36,1,486,0,0,1,0,1,1,0,1,0,0,1,0,0
26,126000,96418,18,0,435,0,0,1,1,0,0,1,1,0,0,0,1,0
21,312000,537708,36,1,831,1,0,1,0,1,1,0,1,0,0,0,1,1
50,125000,1111404,6,1,788,1,0,1,0,1,0,1,0,1,0,0,1,1
32,136000,118224,36,0,568,0,1,0,1,0,1,0,1,0,0,1,0,0
54,172000,307890,36,1,820,1,0,1,0,1,1,0,1,0,0,0,1,1
34,97000,303279,36,1,777,1,0,1,0,1,0,1,0,1,0,1,0,1
32,81000,219996,3,1,814,1,0,1,1,0,1,0,1,0,0,1,0,1
39,95000,46464,18,0,437,0,0,1,0,1,0,1,1,0,0,1,0,0
30,187000,414430,36,1,840,1,0,1,0,1,1,0,0,1,0,1,0,1
39,113000,56964,48,1,487,0,0,1,1,0,1,0,1,0,0,0,1,0
35,176000,103414,36,1,513,0,0,1,1,0,1,0,1,0,0,0,1,0
40,110000,92830,36,1,526,0,0,1,0,1,1,0,0,1,0,0,1,0
30,180000,118732,3,0,433,0,0,1,0,1,1,0,1,0,0,1,0,0
52,130000,545706,36,1,817,1,0,1,0,1,0,1,0,1,0,1,0,1
48,111000,201120,36,1,785,1,1,0,1,0,1,0,1,0,0,1,0,1
23,31649,857424,36,1,781,1,0,1,0,1,1,0,0,1,0,1,0,1
28,167000,32901,36,1,518,0,1,0,0,1,1,0,1,0,0,0,1,0
22,265000,60474,36,0,469,0,0,1,0,1,1,0,1,0,0,1,0,0
49,50000,676284,24,1,780,1,0,1,0,1,1,0,1,0,0,0,1,1
51,136000,417947,36,1,791,1,0,1,1,0,1,0,1,0,0,1,0,1
52,99000,1021808,36,1,785,1,0,1,0,1,0,1,1,0,0,1,0,1
58,104000,334182,36,1,846,1,0,1,0,1,1,0,1,0,0,1,0,1
30,210000,227676,36,1,806,1,0,1,1,0,1,0,1,0,0,0,1,1
53,175000,953223,36,1,816,1,0,1,0,1,1,0,1,0,0,1,0,1
27,131000,422240,36,1,805,1,0,1,0,1,1,0,1,0,0,1,0,1
25,188000,1080362,18,1,848,1,0,1,0,1,1,0,1,0,0,1,0,1
21,81000,187640,36,1,770,1,0,1,0,1,0,1,1,0,0,0,1,1
37,122000,1026864,36,1,826,1,0,1,1,0,1,0,1,0,0,1,0,1
47,25000,1027656,12,1,826,1,0,1,1,0,0,1,1,0,0,1,0,1
29,30589,114240,36,0,525,0,0,1,1,0,1,0,0,1,0,0,1,0
32,137000,926554,36,1,815,1,1,0,0,1,1,0,1,0,0,1,0,1
42,50000,615253,36,1,788,1,0,1,0,1,1,0,1,0,0,1,0,1
59,115000,286968,18,1,838,1,0,1,0,1,0,1,1,0,0,1,0,1
27,131000,990817,36,1,780,1,0,1,0,1,1,0,1,0,0,1,0,1
56,133000,924095,18,1,796,1,0,1,0,1,0,1,1,0,0,0,1,1
38,151000,726518,36,1,836,1,0,1,1,0,1,0,1,0,0,1,0,1
30,31913,374388,36,1,812,1,0,1,0,1,1,0,1,0,0,0,1,1
45,30918,186991,36,1,793,1,0,1,0,1,1,0,1,0,0,1,0,1
34,160000,764194,36,1,836,1,0,1,0,0,1,0,1,0,0,0,1,1
24,100000,376666,36,1,807,1,0,1,0,1,1,0,1,0,0,0,1,1
28,225000,1029586,36,1,809,1,0,1,0,1,1,0,1,0,0,0,1,1
24,120000,49380,36,1,557,0,0,1,1,0,0,1,0,1,1,0,0,0
33,216000,119652,36,0,371,0,0,1,0,1,1,0,1,0,0,0,1,0
37,94000,592114,48,1,754,1,0,1,0,1,0,1,1,0,0,1,0,1
27,136000,845124,36,1,768,1,0,1,1,0,1,0,1,0,0,0,1,1
59,139000,342785,36,1,766,1,1,0,0,1,1,0,0,0,0,1,0,1
23,152000,103222,18,0,363,0,0,1,0,1,0,1,1,0,1,0,0,0
53,30874,845820,36,1,831,1,1,0,1,0,1,0,0,1,0,1,0,1
36,118000,557628,36,1,812,1,0,1,1,0,1,0,0,0,0,1,0,1
22,185000,809424,18,1,816,1,0,1,0,1,1,0,1,0,1,0,0,1
22,154000,1089735,36,1,819,1,1,0,0,1,1,0,1,0,0,1,0,1
47,85000,1143678,36,1,847,1,0,1,0,1,1,0,1,0,0,0,1,1
26,175000,99570,36,1,453,0,0,1,0,1,1,0,1,0,1,0,0,0
59,259000,519816,36,1,845,1,1,0,1,0,1,0,1,0,0,0,1,1
31,180000,874359,36,1,764,1,0,1,0,1,1,0,1,0,1,0,0,1
24,44000,153168,36,1,810,1,1,0,1,0,1,0,1,0,0,1,0,1
43,137000,440440,36,0,769,1,1,0,1,0,1,0,1,0,0,1,0,1
45,81000,982632,36,1,821,1,0,1,0,1,1,0,1,0,0,1,0,1
45,194000,206062,36,1,788,1,0,1,0,1,0,1,1,0,1,0,0,1
44,93000,294732,36,1,815,1,1,0,1,0,1,0,1,0,1,0,0,1
44,370000,1080528,36,1,841,1,0,0,0,1,1,0,1,0,1,0,0,1
37,31280,915512,36,1,789,1,0,1,1,0,1,0,1,0,1,0,0,1
40,160000,130006,18,0,473,0,0,1,0,1,1,0,0,1,0,0,1,0
21,182000,36169,36,0,538,0,0,1,0,1,1,0,1,0,1,0,0,0
21,650000,532308,48,1,790,1,0,1,1,0,1,0,0,1,0,0,1,1
34,74000,1006233,36,1,771,1,0,1,1,0,1,0,1,0,0,0,1,1
54,70000,325512,36,1,810,1,0,1,1,0,1,0,1,0,0,1,0,1
25,25000,1184124,12,1,819,1,0,1,0,1,1,0,0,1,0,1,0,1
58,102000,244932,36,1,840,1,0,1,1,0,1,0,1,0,0,1,0,1
29,290000,62398,36,1,529,0,0,1,0,1,1,0,1,0,0,1,0,0
38,84000,46536,36,1,519,0,1,0,0,1,1,0,1,0,1,0,0,0
32,88000,835220,36,1,783,1,0,1,0,1,1,0,0,1,0,0,1,1
34,242000,179988,36,0,588,0,0,1,1,0,1,0,1,0,0,1,0,0
30,129000,68282,36,1,457,0,0,1,0,1,0,1,1,0,1,0,0,0
33,185000,51919,36,1,537,0,0,1,0,1,1,0,1,0,1,0,0,0
47,168000,1123488,36,1,814,1,0,1,1,0,1,0,1,0,0,0,1,1
38,175000,379440,18,1,784,1,0,1,1,0,1,0,0,1,0,1,0,1
58,122000,1082418,36,1,844,1,0,1,0,1,1,0,1,0,0,1,0,1
52,187000,1144260,18,1,804,1,0,1,0,1,1,0,1,0,0,0,1,1
34,100000,282322,36,1,786,1,1,0,0,1,1,0,1,0,0,1,0,1
22,70000,373068,36,1,809,1,1,0,0,1,1,0,1,0,0,0,1,1
28,30000,365673,36,1,764,1,0,1,0,1,1,0,1,0,0,0,1,1
26,225000,121666,36,1,481,0,1,0,1,0,1,0,1,0,1,0,0,0
29,125000,500918,36,1,794,1,0,1,0,1,1,0,1,0,0,1,0,1
32,118000,43788,36,0,393,0,0,1,1,0,1,0,1,0,1,0,0,0
46,152000,583962,36,1,834,1,0,1,0,1,1,0,0,1,1,0,0,1
26,244000,93024,36,1,486,0,0,1,1,0,1,0,1,0,0,0,1,0
40,113000,31200,36,1,512,0,0,1,0,1,0,1,1,0,1,0,0,0
30,50000,1026264,36,1,846,1,0,1,1,0,1,0,1,0,0,0,1,1
34,600000,354180,18,0,826,1,0,1,0,1,1,0,1,0,0,1,0,1
41,160000,436656,36,1,771,1,0,1,0,1,1,0,1,0,1,0,0,1
49,187000,918300,36,1,817,1,0,1,0,1,1,0,1,0,0,0,1,1
28,120000,411055,36,1,824,1,0,1,1,0,1,0,0,0,1,0,0,1
21,255000,403581,36,1,840,1,0,1,0,1,1,0,1,0,0,1,0,1
52,98000,445737,36,1,815,1,0,1,0,1,0,1,1,0,0,1,0,1
27,275000,53820,36,1,551,0,0,1,0,1,1,0,1,0,0,0,1,0
29,121000,72068,36,0,443,0,0,1,0,1,1,0,1,0,0,1,0,0
25,158000,784507,36,1,809,1,0,1,0,1,1,0,1,0,1,0,0,1
29,75000,495252,18,1,773,1,0,1,0,1,1,0,1,0,0,0,1,1
58,182000,1110742,18,1,764,1,0,1,0,1,1,0,1,0,1,0,0,1
31,112000,69444,36,1,457,0,1,0,0,1,1,0,1,0,1,0,0,0
24,129000,1166001,36,1,780,1,0,1,0,1,1,0,1,0,1,0,0,1
21,63000,91560,48,0,585,0,0,1,1,0,1,0,1,0,0,1,0,0
31,200000,572400,36,1,757,1,0,1,0,1,1,0,1,0,0,1,0,1
59,95000,217241,36,1,780,1,0,1,0,1,0,1,0,0,1,0,0,1
49,700000,1154628,3,1,768,1,0,0,0,1,1,0,1,0,0,0,1,1
33,81000,50388,18,1,547,0,0,1,0,1,0,1,1,0,1,0,0,0
31,187000,732117,36,1,785,1,0,1,0,1,1,0,1,0,0,1,0,1
39,87000,31672,36,1,522,0,0,1,0,1,0,1,0,1,0,1,0,0
40,116000,961856,36,1,809,1,0,1,0,1,1,0,1,0,1,0,0,1
56,101000,720059,36,1,757,1,0,1,0,1,1,0,1,0,1,0,0,1
38,495000,82568,36,0,362,0,0,1,0,1,1,0,1,0,0,1,0,0
57,116000,340020,36,1,790,1,0,1,0,1,1,0,1,0,0,1,0,1
33,102000,31475,48,0,601,0,0,1,1,0,0,1,1,0,0,0,1,0
23,180000,90266,36,0,382,0,0,1,0,1,1,0,1,0,0,0,1,0
40,67000,108647,36,0,531,0,0,1,1,0,1,0,1,0,1,0,0,0
45,73000,1178340,18,1,812,1,0,1,0,1,1,0,1,0,0,1,0,1
39,260000,406152,36,1,480,0,0,1,0,1,1,0,1,0,0,1,0,0
25,108000,205020,36,1,846,1,1,0,0,1,1,0,1,0,0,1,0,1
44,120000,351130,36,1,758,1,0,1,0,1,1,0,0,1,0,1,0,1
23,66000,77364,3,0,380,0,0,1,0,1,1,0,0,1,1,0,0,0
27,58000,674210,36,1,821,1,0,1,0,1,1,0,1,0,1,0,0,1
32,168000,393988,36,1,812,1,0,0,0,1,1,0,0,1,1,0,0,1
50,188000,1159248,18,1,756,1,0,1,0,1,1,0,1,0,1,0,0,1
46,48000,612852,36,1,764,1,0,1,1,0,0,1,1,0,1,0,0,1
30,164000,144000,36,1,526,0,0,1,1,0,1,0,1,0,0,1,0,0
35,160000,72312,36,1,537,0,0,1,0,1,0,1,1,0,0,0,1,0
42,76000,282060,36,1,830,1,0,1,1,0,1,0,1,0,0,1,0,1
58,120000,1046520,36,1,759,1,0,1,1,0,1,0,1,0,1,0,0,1
40,170000,34047,36,1,531,0,0,1,0,1,1,0,1,0,0,1,0,0
55,187000,926082,36,1,815,1,0,1,1,0,1,0,1,0,1,0,0,1
27,120000,905185,18,1,812,1,1,0,1,0,0,1,1,0,0,0,1,1
35,113000,479048,36,1,805,1,1,0,0,1,1,0,1,0,0,1,0,1
33,83000,132000,36,1,575,0,0,1,1,0,1,0,0,1,0,0,1,0
37,90000,1027744,36,1,833,1,0,1,0,1,0,1,1,0,0,1,0,1
54,166000,127236,36,0,843,1,0,1,1,0,1,0,1,0,0,1,0,1
36,30805,42132,18,1,477,0,0,1,0,1,0,1,1,0,0,0,1,0
26,135000,1200843,36,1,801,1,0,1,0,1,0,1,1,0,0,0,1,1
48,124000,128568,36,1,803,1,0,1,0,1,0,1,1,0,0,1,0,1
38,120000,472164,36,1,797,1,1,0,1,0,0,1,1,0,0,1,0,1
33,80000,219024,36,1,828,1,1,0,1,0,1,0,1,0,0,0,1,1
24,55000,984491,36,1,830,1,0,1,1,0,0,1,1,0,1,0,0,1
33,59000,959052,36,1,788,1,0,1,1,0,1,0,1,0,0,0,1,1
30,127000,32496,36,1,475,0,0,1,1,0,1,0,1,0,0,1,0,0
28,214000,120000,36,1,500,0,1,0,1,0,1,0,1,0,0,1,0,0
29,128000,51638,36,0,511,0,0,1,0,1,1,0,1,0,0,1,0,0
29,240000,205500,36,1,820,1,0,1,0,1,1,0,0,1,0,0,1,1
55,130000,1132644,36,1,757,1,0,1,0,1,0,1,0,1,1,0,0,1
54,137000,845769,36,1,792,1,0,1,0,1,1,0,1,0,0,0,1,1
33,100000,575591,36,1,761,1,0,1,0,1,0,1,1,0,0,1,0,1
40,135000,82500,36,1,518,0,0,1,0,1,1,0,1,0,1,0,0,0
56,131000,1100879,36,1,799,1,0,1,0,1,1,0,1,0,0,1,0,1
38,72000,84120,36,0,566,0,0,1,0,1,1,0,0,0,0,1,0,0
23,127000,243559,36,1,838,1,1,0,0,1,1,0,1,0,0,1,0,1
39,60000,57936,36,0,544,0,0,1,0,1,1,0,1,0,0,0,1,0
46,116000,306985,36,1,774,1,0,1,0,1,1,0,1,0,0,1,0,1
37,144000,304831,36,1,761,1,0,1,1,0,1,0,1,0,0,1,0,1
32,175000,125894,18,1,786,1,0,1,0,1,1,0,1,0,0,1,0,1
59,128000,334020,36,1,751,1,0,1,0,1,1,0,1,0,0,1,0,1
31,170000,58176,36,1,518,0,0,1,0,1,1,0,1,0,1,0,0,0
34,138000,106020,36,1,525,0,0,1,0,1,0,1,0,1,0,0,1,0
39,210000,854391,36,1,759,1,0,1,0,1,1,0,1,0,0,1,0,1
57,158000,206196,48,1,785,1,0,1,0,0,1,0,1,0,0,1,0,1
30,200000,547212,36,1,847,1,0,1,1,0,1,0,0,1,1,0,0,1
25,104000,743378,36,1,812,1,0,1,0,1,1,0,1,0,0,1,0,1
24,42000,597852,18,1,831,1,0,1,0,1,1,0,0,0,1,0,0,1
23,120000,222438,18,1,762,1,0,1,1,0,0,1,1,0,1,0,0,1
52,280000,1136736,36,1,807,1,1,0,1,0,1,0,1,0,0,1,0,1
48,140000,668967,36,1,842,1,0,1,0,1,1,0,1,0,0,1,0,1
40,170000,1097016,36,1,754,1,0,1,0,1,1,0,1,0,1,0,0,1
39,255000,64896,36,0,547,0,0,1,0,1,1,0,0,1,0,0,1,0
27,122000,637080,36,1,811,1,1,0,1,0,1,0,0,1,0,0,1,1
57,112000,986688,36,1,819,1,1,0,1,0,1,0,1,0,1,0,0,1
42,96000,1165836,36,1,752,1,0,1,0,1,1,0,1,0,0,1,0,1
41,120000,201464,36,1,778,1,0,1,0,1,1,0,1,0,1,0,0,1
36,140000,62091,18,1,503,0,0,1,0,1,0,1,1,0,0,0,1,0
35,155000,465121,6,1,769,1,0,1,1,0,1,0,1,0,0,0,1,1
25,108000,444628,36,1,822,1,0,1,0,1,1,0,0,1,1,0,0,1
30,123000,372385,36,1,799,1,0,1,0,1,0,1,1,0,0,1,0,1
28,120000,108877,18,1,566,0,0,1,1,0,1,0,0,1,0,0,1,0
47,112000,1066788,36,1,817,1,0,1,0,1,1,0,1,0,0,0,1,1
52,137000,729552,18,1,799,1,0,1,0,1,0,1,1,0,0,0,1,1
